location,lat,lon,entry,ratingDate,rating,sentiment,reviewertitel
SO CAL,???,???,"
If driving rent a GPS. You're life will be much easier. - DRESS WARM; IT'S VERY COLD ON TOP OF THE VOLCANO and we arrived after the season's first snow of about 2 inches covering all of the lava rock. It was beautiful.<br /><br />Getting to Mt Etna is a lovely meandering drive down small rwo lane roads that have little traffic and lovely sightseeing. Very woodsy. We drove in mid-November and as you climb higher in elevation we were treated to hills completely covererd with trees in full fall foliage color. Just beautiful.<br /><br />Arrived at the staging area. There are a few souvenir stores and places to get a light bite to eat. You climb the steps up to the ticket area which is also where the funicular (tram) leaves from. Splurge and buy the full ticket up to the top of the volcano which includes a walking tour. It is 60.5 Euros and well worth it. (About $80 US) Don't bother going up just for the tram ride.<br /><br />After purchasing your ticket you board one of the slow moving enclosed funicular cars on your own for the trip up the lower part of the volcano. Each car holds 6 people (3 seats facing each other. You would think with the money they are making off tourists they could afford to replace the plexiglass which has scratches and people's names and initials carved into the glass. You can still see but it's really annoying to see what idiotic people have done.<br /><br />As you climb higher and higher you can see different views all over the island as well as the lava left from previous eruptions. Everything is black until you get near the top which then became snow covered.<br /><br />After arrival at the top you will enter a building where you can have something to eat and explore the second floor which has many large photos of previous eruptions in all their glory. There is a video on in the dining area to watch as well. There are some Mt. Etna logo sweatshirts and jackets that aren't bad. If you don't think you are dressed warmly enough you can actually rent a jacket, boots, etc. for about 2E each. I wore a regular top, a sweater and a fleecy jacket which was sufficient although my ears got cold on the walk.<br /><br />There will be a time stamp on your ticket. The snow vehicle that holds about 28 people will fill up with people and off you go. It was surreal. As we climbed on the black lava road (very smooth) up the mountain all we could see was snow covered lava as we went higher and higher. <br /><br />When we arrived at the top (8,000+ fett) we were met by a guide who spoke good English and we began our walking tour. We stopped several times to see the crater at different places with steam clouds still coming out from the previous eruption. All in all the tour is about 45 minutes and is up and down so can be challenging especially because you are 8,000 feet above sea level. I'm very fit and I was out of breath. Walking through the couple inches of snow was also a challenge but it wasn't slippery and we all made it. Frankly I don't know how some of these old people made it. It's not a walk in the park. Back on the bus there was some obvious catching of breath by the out of shapes.<br /><br />It was a surreal experience. It was still cloudy with bits of sun trying to break through, the volcano itself covered in snow and the surrounding was like walking in a cloud. Everything white and very memorable. The only black we could see at the top was the road we came up on.<br /><br />Afterwards we re-boarded the sno-bus and back down to the bottom where the sun was coming out and on to the next adventure. It was a great experience.
","Reviewed November 28, 2012
",5.0,0.109320925553,Top Contributor
Cagliari,39.2238411,9.1216613,"
It isn't the most pretty or interesting of walks, but I had a fantastic sense of acheivement once I reached the top.<br />Whilst the walk from the bus stop to the summit is not long (less than 3 hours), the ground is loose stone, and it can be very windy, misty and cold, so wear good clothes and shoes.
","Reviewed November 27, 2012
",4.0,0.127855477855,Reviewer
"Wollaston, United Kingdom",???,???,"
A bit tacky at the main tourist spot for the cable car at Rifugio Sapienza, but well worth the drive up to walk about Mt Silvestri if you do not want to go to the top of Etna. If you have a car drive to Refugio Citelli and follow the guided walk around Monti Satorius (4km). A lot quieter.<br />It is a pity about all the rubbish, (not litter) dumped by the ,on all the roads around such a national treasure.
","Reviewed November 26, 2012
",5.0,0.241666666667,Senior Contributor
"Cleveland, Ohio",41.4994954,-81.6954088,"
If you in Sicily, do not even think twice: just go there. Dress warm: it is very cold and windy. I am personally not a fan places like this but it was a great experience and I have photos and memories that are precious now
","Reviewed November 25, 2012
",4.0,0.28,Senior Contributor
"Rockport, Washington",48.485671,-121.5976334,"
The mountain was socked in with fog and even though we took the gondola car to the top, it was all in vain!
","Reviewed November 23, 2012
",2.0,0.625,Senior Contributor
"San Diego, California",32.7153292,-117.1572551,"
Our experience to Mount Etna was unforgettable and a must do for anyone visiting the area. We visited the mountain during late November/early December, and snow was covering most of the mountain tops and trail. It was truly magical to hike on the volcano with snow all around, and steam raising up for the mountain top opening. A must do!<br /><br />Recommendations...<br />If you are active, hike up the summit instead of paying for the jeep ride to the top. The views are remarkable, the experience is truly authentic and there are incredible photo opportunities along the way. The restaurant at the bottom of the hill has basic food, but was warm and cozy for a quick drink/bit after the hike.
","Reviewed November 21, 2012
",5.0,0.375,Senior Reviewer
Italy,41.87194,12.56738,"
Andrea, who was our guide for nearly 10 hrs arranged by our B&amp;B Picone...was amazing. We got so much history of Etna, drove all around..went into inactive craters, visited other attractions in the area..not to mention his fabulous stories of lore..so entertaining and personalable...69 euros incl lunch..fabulous value for what we got.
","Reviewed November 18, 2012
",5.0,0.295,Contributor
"Catania, Italy",37.5080386,15.0828512,"
I was lucky to have selected a day that had such clear skies and a guide (Guilia from Etna Tribe company) that made every attempt to make us comfortable and the trip to be interesting. The view of the volcano was breathtaking and the view from every angle was fantastic! We visited a cave, found a fox, stopped at a organic honey farm and did many other interesting things on the way to the mountain and back. The car was extremely comfortable and roomy. We had a lot of fun! Seeing an active volcano that close was a real life experience! The only downside (if there was any) was the very expensive cable car ride (about 30 Euro) for a few minutes on a cable car. I have been to many parts of the world and gone on many cable cars that took through breathtaking views, but never paid that much!! Other than that, the trip was fully worth. I will recommend to anyone visiting Catania to book through Etna Tribe Travel and be lucky to get Guilia as your guide!!
","Reviewed November 13, 2012
",5.0,0.2856875,no status
"Canterbury, United Kingdom",???,???,"
We had a Etna Experience trip. This explained the landescape, and the impact the eruptions have on the vegetation. Make sure that you go on a clear day and be aware that it can be quite busy in places.
","Reviewed November 12, 2012
",4.0,0.2375,Contributor
"Corfe Castle, United Kingdom",50.6403609,-2.05901,"
A lovely trip with great views. Would have liked to go higher but cable car very expensive. The organised trip (in a Landrover) was worth it but the suggested Sicilian meal was just a small snack in a cafe.......disappointing!
","Reviewed November 9, 2012
",4.0,0.2,Reviewer
"Dover, Kent. UK.",51.126371,1.316198,"
On a recent cruise we booked Sicily Life to take a group of 6 to visit Taormina and Castelmola. Antonio picked us up promptly from Catania and drove us to Taormina. Unfortunately he could not control the weather and the heavens opened!! Etna remained hidden from us the entire day! Antonio made the best of a bad situation and showed us as much as possible from the vehicle. He then led us to a very quirky restaurant/bar in Castelmola for reviving coffee where we were made very welcome by his friends. We decided to shorten our walking time in Taormina due to the weather and again he was very accomodating and found a few more sights to show us from the vehicle. On our return to Catania to rejoin our cruise ship, he drove around showing us as much as possible without venturing out into the very heavy downpour. We hope to return to this lovely area one day in batter weather and will definitely ask for Antonio again.
","Reviewed November 8, 2012
",5.0,0.110555555556,Senior Contributor
"Priddis, Canada",50.8853635,-114.32635,"
Although Mt. Etna was in cloud for most of our trip, the drive to the top was worth it to see the vast fields of lava - quite a contrast to the surrounding terrain. Because of the cloud we didn't take the gondola higher up, but I bet it would be fantastic on a clear day.
","Reviewed November 6, 2012
",5.0,0.292857142857,Senior Contributor
Holywell Fflint,53.276009,-3.225103,"
Our Hotel in Catania sold us this package, and we were told it was the best, If that was the best I'd hate to see the worst, the vehicle was old and uncomfortable the Driver/guide? rambled when he decided to speak, there were one or two interesting views but when some considerable distance from the Crater he announced &quot;now we go back&quot; there were a lot of protests we all felt the journey was a sham, indeed some of the Party wanted to stay there and get a Taxi back later, but that would have been another 100 euros, in all a great disappointment. Shirley and Lowri Williams
","Reviewed November 6, 2012
",2.0,0.05,no status
"London, United Kingdom",51.5112139,-0.1198244,"
Etna the magnificent! Mother nature providing the nutrients for its environment to thrive. To get the best out of Etna go with a guide. There is more to Etna than just being a tourist attraction it is a geological marvel.
","Reviewed November 5, 2012
",5.0,0.833333333333,Contributor
"Quebec City, Canada",???,???,"
This is more than just a volcano. It's a complex structure with over 300 mouths all the way down from the top. Where else can you climb on lava field just 6 months old, coming down on the big one that happened 10 years ago? And the weather was perfect.
","Reviewed November 5, 2012
",5.0,0.186111111111,Top Contributor
MD,???,???,"
The bus ride to the top is expensive unless you have the stamina to hike up. The gondola part-way is a must. What a view. Gorgeous, plus how often are you trekking over a live volcano?!
","Reviewed November 5, 2012
",5.0,0.230113636364,Senior Contributor
"Milwaukee, Wisconsin",43.0389025,-87.9064736,"
We took a tour which took about 1 1/2 hours each way from the cruise dock in Catania. We got to see the part of the city as the bus took us up to Mt. Etna. We felt the volcano in Hawaii was very interesting but it was like dwarfed by the lava, house in the lava, views for miles if the weather is good and the spectacular views as you continued to wind up the side of the mountain. At the top are several shops with different kinds of trinkets to higher end items. A real heaven for the shopper especially those who love to taste all kinds of wine tasting. Take a jacket and stocking hat in case it is windy and venture to the several craters etc. Don't miss it if you like these type of things.
","Reviewed November 5, 2012
",5.0,0.295454545455,Top Contributor
"Poughkeepsie, New York",41.7003713,-73.9209701,"
The weathre was terrible and truly spoiled the day for us.The wind was so strong that children would be in danger. Be prepared for a climb and strong winds if you go. <br />Stop at a village on the way up.
","Reviewed November 5, 2012
",3.0,-0.0444444444444,Reviewer
"Chichester, United Kingdom",50.83761,-0.774936,"
We did the train ride around the base and enjoyed the chance to see variety of landscape and the former lava flows.
","Reviewed November 1, 2012
",4.0,-0.1,Senior Reviewer
"Atlanta, Georgia, United States",???,???,"
Drove to 2000m, took the tram to 2500m, walked to 3000m. Whew! It took about 1-1/2 hours but well worth it! Beautiful!
","Reviewed October 31, 2012
",5.0,0.734375,no status
"Gatineau, Canada",45.4765446,-75.7012723,"
Great experience! Very impressive. Something that I will always remember. Top is close to 10,000 feet. We climb the first half using teleferic (telpher railway) and the top half using all terrain busses. When we reach to top, we can feel the heat of the ground at some places (recent eruptions) and see snow at other places (because of the high altitude). A lot of sulfured smoke on top coming craters...
","Reviewed October 31, 2012
",5.0,0.329305555556,Reviewer
"East Amherst, NY",43.0183913,-78.696697,"
Taking a tour of an active volcano is not something to be taken likely. A good guide keeps you safe, a great guide makes you feel comfortable as you hike around windy volcano rims and pitch black lava tubes. Julia was not only a great guide; she was charming, kind and patient as she took us to some of the more out of the way attractions on the mountain and kept us away from the tourist traps.
","Reviewed October 31, 2012
",5.0,0.3875,Reviewer
"Normal, Illinois",40.5142026,-88.9906312,"
Have visited different volcanoes in the world but this one has its own different character. For one thing everything is black and the lava and basalt rocks seem to be finer. The multiple craters are smaller and of different ages (the most recent is only a few weeks old - not withstanding that this is an active volcano).<br />Great scenic views of the volcano itself and the surrounding countryside.<br />On the way up pay attention to the nearby towns which had been affected and has had lava flow into or around them.<br /><br />Since this is way above sea level make sure to have a warm jacket and closed walking shoes. <br /><br />Old people with cane were enjoying the climb which was not too steep. Peaceful place with no hawkers and no entrance fee.
","Reviewed October 29, 2012
",5.0,0.128947368421,Top Contributor
"Burlington, Canada",43.3255196,-79.7990319,"
We did a fantastic tour of Mt. Etna with Corrado Triscari who made this day one of our best in Sicily. Corrado met us at our B&amp;B in Taormina and spent the entire day with my wife and I doing a fantastic job explaining the geology and history of the volcano. His knowledge and experience with the dynamics of Mt. Etna made this a tour well worthwhile and I would recommend Corrado to anyone who want to understand the physical geography and history of Mt. Etna.
","Reviewed October 28, 2012
",5.0,0.383333333333,no status
